 ,Nearest Neighbors ,Linear SVM ,RBF SVM ,Decision Tree ,Random Forest ,Naive Bayes
Accuracy:, 0.999932714305, 0.999932714305, 0.999697214372, 0.999798142915, 0.999899071457, 0.999932714305
Precision:, 0.999659921782, 0.999659921782, 0.998471467391, 0.998980458794, 0.999489969398, 0.999659921782
Recall:, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
AUC:, 0.999958062487, 0.999958062487, 0.999811281191, 0.999874187461, 0.99993709373, 0.999958062487
