 ,Nearest Neighbors ,Linear SVM ,RBF SVM ,Decision Tree ,Random Forest ,Naive Bayes
Accuracy:, 0.999948818998, 0.999948818998, 0.999936023748, 0.999347442229, 0.999936023748, 0.999808071244
Precision:, 0.999744572158, 0.999744572158, 0.999680735585, 0.996942869881, 0.999808392412, 1.0
Recall:, 1.0, 1.0, 1.0, 0.999808380174, 0.999872253449, 0.999041900869
AUC:, 0.999967998976, 0.999967998976, 0.99995999872, 0.999520177798, 0.999912125957, 0.999520950434
